ParkName,Year,Month,Date,RecreationVisits,NonRecreationVisits,Total Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1979,1,1/1/1979,6011,15252,21263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1979,2,2/1/1979,5243,13776,19019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1979,3,3/1/1979,11165,15252,26417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1979,4,4/1/1979,219351,37657,257008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1979,5,5/1/1979,339416,50616,390032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1979,6,6/1/1979,543205,70776,613981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1979,7,7/1/1979,383341,41071,424412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1979,8,8/1/1979,466928,50028,516956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1979,9,9/1/1979,320138,34300,354438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1979,10,10/1/1979,300976,32246,333222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1979,11,11/1/1979,183750,19687,203437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1979,12,12/1/1979,7842,15252,23094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1980,1,1/1/1980,8966,15252,24218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1980,2,2/1/1980,8225,15252,23477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1980,3,3/1/1980,7505,15252,22757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1980,4,4/1/1980,182879,34578,217457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1980,5,5/1/1980,209301,37010,246311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1980,6,6/1/1980,359552,50842,410394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1980,7,7/1/1980,533885,68124,602009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1980,8,8/1/1980,633067,77848,710915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1980,9,9/1/1980,282636,45714,328350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1980,10,10/1/1980,332937,51152,384089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1980,11,11/1/1980,200461,37803,238264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1980,12,12/1/1980,20252,44602,64854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1981,1,1/1/1981,23330,78915,102245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1981,2,2/1/1981,16207,68606,84813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1981,3,3/1/1981,21923,92285,114208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1981,4,4/1/1981,188071,35173,223244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1981,5,5/1/1981,212500,23258,235758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1981,6,6/1/1981,366518,15252,381770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1981,7,7/1/1981,545981,15252,561233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1981,8,8/1/1981,616233,15252,631485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1981,9,9/1/1981,463823,15252,479075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1981,10,10/1/1981,313788,15252,329040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1981,11,11/1/1981,203741,15252,218993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1981,12,12/1/1981,25857,15252,41109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1982,1,1/1/1982,21425,15252,36677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1982,2,2/1/1982,22210,15252,37462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1982,3,3/1/1982,36866,15252,52118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1982,4,4/1/1982,193208,15252,208460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1982,5,5/1/1982,261452,15252,276704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1982,6,6/1/1982,404915,15252,420167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1982,7,7/1/1982,737860,15275,753135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1982,8,8/1/1982,574164,15252,589416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1982,9,9/1/1982,541721,15252,556973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1982,10,10/1/1982,446170,15252,461422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1982,11,11/1/1982,303753,15252,319005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1982,12,12/1/1982,28370,15252,43622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1983,1,1/1/1983,23771,15252,39023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1983,2,2/1/1983,24667,15252,39919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1983,3,3/1/1983,25576,15252,40828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1983,4,4/1/1983,207347,15252,222599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1983,5,5/1/1983,287861,15252,303113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1983,6,6/1/1983,435142,15252,450394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1983,7,7/1/1983,916474,15252,931726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1983,8,8/1/1983,715624,15252,730876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1983,9,9/1/1983,668981,15252,684233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1983,10,10/1/1983,529524,15252,544776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1983,11,11/1/1983,262444,15252,277696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1983,12,12/1/1983,27228,15252,42480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1984,1,1/1/1984,24273,15252,39525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1984,2,2/1/1984,26185,15252,41437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1984,3,3/1/1984,37289,15252,52541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1984,4,4/1/1984,229638,15252,244890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1984,5,5/1/1984,271964,15252,287216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1984,6,6/1/1984,458908,15262,474170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1984,7,7/1/1984,790392,15252,805644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1984,8,8/1/1984,865843,15252,881095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1984,9,9/1/1984,443622,15252,458874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1984,10,10/1/1984,361873,15252,377125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1984,11,11/1/1984,194735,15252,209987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1984,12,12/1/1984,30041,15252,45293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1985,1,1/1/1985,31360,15252,46612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1985,2,2/1/1985,23261,15252,38513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1985,3,3/1/1985,46315,15252,61567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1985,4,4/1/1985,261410,15252,276662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1985,5,5/1/1985,341775,15252,357027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1985,6,6/1/1985,432926,15252,448178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1985,7,7/1/1985,725951,15252,741203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1985,8,8/1/1985,816294,15252,831546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1985,9,9/1/1985,451026,15252,466278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1985,10,10/1/1985,373037,15252,388289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1985,11,11/1/1985,206970,15252,222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1985,12,12/1/1985,35245,15252,50497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1986,1,1/1/1986,28369,15252,43621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1986,2,2/1/1986,33055,15252,48307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1986,3,3/1/1986,47390,15252,62642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1986,4,4/1/1986,257926,15252,273178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1986,5,5/1/1986,411604,15252,426856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1986,6,6/1/1986,486835,15252,502087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1986,7,7/1/1986,717864,15252,733116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1986,8,8/1/1986,809273,15252,824525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1986,9,9/1/1986,488247,15252,503499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1986,10,10/1/1986,407396,15252,422648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1986,11,11/1/1986,204770,15252,220022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1986,12,12/1/1986,36325,15252,51577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1987,1,1/1/1987,35579,16200,51779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1987,2,2/1/1987,35766,14850,50616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1987,3,3/1/1987,56924,15723,72647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1987,4,4/1/1987,292358,15723,308081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1987,5,5/1/1987,444265,15723,459988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1987,6,6/1/1987,523486,15723,539209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1987,7,7/1/1987,751309,15723,767032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1987,8,8/1/1987,786970,15723,802693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1987,9,9/1/1987,562309,15723,578032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1987,10,10/1/1987,444810,15723,460533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1987,11,11/1/1987,299699,15723,315422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1987,12,12/1/1987,54679,15723,70402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1988,1,1/1/1988,43462,15723,59185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1988,2,2/1/1988,30060,15723,45783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1988,3,3/1/1988,54253,15723,69976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1988,4,4/1/1988,223653,15723,239376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1988,5,5/1/1988,448299,15723,464022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1988,6,6/1/1988,582015,15723,597738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1988,7,7/1/1988,799802,15723,815525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1988,8,8/1/1988,909762,15723,925485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1988,9,9/1/1988,601530,15723,617253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1988,10,10/1/1988,455637,15723,471360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1988,11,11/1/1988,303503,15723,319226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1988,12,12/1/1988,50307,15723,66030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1989,1,1/1/1989,41114,15723,56837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1989,2,2/1/1989,42012,15723,57735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1989,3,3/1/1989,74773,15723,90496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1989,4,4/1/1989,324714,15723,340437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1989,5,5/1/1989,579272,15723,594995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1989,6,6/1/1989,704488,15723,720211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1989,7,7/1/1989,999535,15723,1015258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1989,8,8/1/1989,1045060,15723,1060783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1989,9,9/1/1989,666669,15723,682392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1989,10,10/1/1989,610334,15723,626057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1989,11,11/1/1989,302857,15723,318580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1989,12,12/1/1989,50124,15723,65847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1990,1,1/1/1990,16084,20343,36427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1990,2,2/1/1990,13383,19923,33306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1990,3,3/1/1990,30060,20373,50433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1990,4,4/1/1990,17898,21723,39621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1990,5,5/1/1990,148090,21923,170013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1990,6,6/1/1990,290533,21723,312256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1990,7,7/1/1990,554953,21923,576876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1990,8,8/1/1990,645522,21923,667445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1990,9,9/1/1990,355864,21723,377587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1990,10,10/1/1990,207770,20373,228143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1990,11,11/1/1990,47633,20223,67856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1990,12,12/1/1990,11801,20373,32174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1991,1,1/1/1991,24588,20373,44961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1991,2,2/1/1991,14667,19923,34590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1991,3,3/1/1991,31291,20373,51664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1991,4,4/1/1991,75738,21723,97461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1991,5,5/1/1991,157252,21923,179175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1991,6,6/1/1991,295348,21723,317071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1991,7,7/1/1991,574529,21923,596452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1991,8,8/1/1991,640990,21923,662913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1991,9,9/1/1991,377904,21723,399627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1991,10,10/1/1991,224497,20373,244870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1991,11,11/1/1991,45518,20223,65741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1991,12,12/1/1991,13535,20373,33908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1992,1,1/1/1992,17510,20373,37883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1992,2,2/1/1992,21110,19923,41033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1992,3,3/1/1992,30312,20373,50685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1992,4,4/1/1992,63276,21723,84999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1992,5,5/1/1992,164400,21923,186323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1992,6,6/1/1992,262173,21723,283896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1992,7,7/1/1992,539109,21923,561032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1992,8,8/1/1992,615843,21923,637766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1992,9,9/1/1992,391798,21723,413521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1992,10,10/1/1992,211573,20373,231946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1992,11,11/1/1992,46316,20223,66539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1992,12,12/1/1992,18693,20373,39066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1993,1,1/1/1993,19402,20373,39775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1993,2,2/1/1993,15556,19923,35479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1993,3,3/1/1993,29040,20373,49413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1993,4,4/1/1993,57707,21723,79430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1993,5,5/1/1993,192823,21923,214746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1993,6,6/1/1993,300647,21723,322370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1993,7,7/1/1993,586449,21923,608372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1993,8,8/1/1993,719671,21923,741594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1993,9,9/1/1993,417317,21723,439040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1993,10,10/1/1993,254615,20373,274988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1993,11,11/1/1993,43755,20223,63978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1993,12,12/1/1993,19052,20373,39425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1994,1,1/1/1994,13364,20373,33737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1994,2,2/1/1994,18112,19923,38035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1994,3,3/1/1994,29086,20373,49459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1994,4,4/1/1994,58788,21723,80511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1994,5,5/1/1994,182781,21923,204704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1994,6,6/1/1994,311803,21723,333526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1994,7,7/1/1994,617622,21923,639545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1994,8,8/1/1994,720079,21923,742002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1994,9,9/1/1994,421106,21723,442829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1994,10,10/1/1994,268779,20373,289152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1994,11,11/1/1994,48907,20223,69130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1994,12,12/1/1994,20322,20373,40695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1995,1,1/1/1995,14894,20373,35267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1995,2,2/1/1995,20510,19923,40433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1995,3,3/1/1995,32120,20373,52493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1995,4,4/1/1995,86198,21723,107921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1995,5,5/1/1995,175550,21923,197473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1995,6,6/1/1995,355270,21723,376993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1995,7,7/1/1995,626947,21923,648870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1995,8,8/1/1995,753799,21923,775722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1995,9,9/1/1995,439553,21723,461276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1995,10,10/1/1995,271606,20373,291979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1995,11,11/1/1995,54121,20223,74344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1995,12,12/1/1995,14810,20373,35183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1996,1,1/1/1996,17655,20373,38028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1996,2,2/1/1996,15576,19923,35499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1996,3,3/1/1996,32452,20373,52825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1996,4,4/1/1996,76597,21723,98320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1996,5,5/1/1996,166290,21923,188213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1996,6,6/1/1996,327723,21723,349446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1996,7,7/1/1996,571017,21923,592940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1996,8,8/1/1996,714090,21923,736013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1996,9,9/1/1996,426562,21723,448285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1996,10,10/1/1996,280577,20373,300950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1996,11,11/1/1996,56828,20223,77051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1996,12,12/1/1996,19464,20373,39837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1997,1,1/1/1997,16292,20373,36665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1997,2,2/1/1997,17230,19923,37153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1997,3,3/1/1997,27035,20373,47408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1997,4,4/1/1997,77005,21723,98728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1997,5,5/1/1997,132194,21923,154117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1997,6,6/1/1997,340064,21723,361787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1997,7,7/1/1997,622847,21923,644770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1997,8,8/1/1997,758140,21923,780063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1997,9,9/1/1997,404808,21723,426531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1997,10,10/1/1997,287171,20373,307544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1997,11,11/1/1997,57810,20223,78033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1997,12,12/1/1997,19710,20373,40083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1998,1,1/1/1998,16726,20373,37099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1998,2,2/1/1998,17028,19923,36951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1998,3,3/1/1998,27500,20373,47873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1998,4,4/1/1998,81896,21723,103619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1998,5,5/1/1998,148052,21923,169975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1998,6,6/1/1998,307208,21723,328931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1998,7,7/1/1998,565477,21923,587400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1998,8,8/1/1998,701097,21923,723020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1998,9,9/1/1998,391378,21723,413101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1998,10,10/1/1998,266138,20373,286511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1998,11,11/1/1998,55225,20223,75448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1998,12,12/1/1998,16772,20373,37145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1999,1,1/1/1999,16430,20373,36803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1999,2,2/1/1999,17162,19923,37085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1999,3,3/1/1999,33688,20373,54061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1999,4,4/1/1999,82993,21723,104716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
