Visitors,Time,,
87168,2/1/1994,,
121555,3/1/1994,,
150290,4/1/1994,,
248684,5/1/1994,,
358722,6/1/1994,,
578213,7/1/1994,,
948440,8/1/1994,,
418601,9/1/1994,,
205845,10/1/1994,,
106574,11/1/1994,,
72039,12/1/1994,,
45468,1/1/1993,,
92616,2/1/1993,,
94503,3/1/1993,,
135296,4/1/1993,,
262521,5/1/1993,,
292038,6/1/1993,,
395670,7/1/1993,,
596948,8/1/1993,,
373445,9/1/1993,,
223359,10/1/1993,,
101848,11/1/1993,,
65886,12/1/1993,,
87347,1/1/1992,,
90782,2/1/1992,,
130148,3/1/1992,,
142355,4/1/1992,,
280778,5/1/1992,,
381961,6/1/1992,,
517278,7/1/1992,,
666810,8/1/1992,,
408254,9/1/1992,,
183448,10/1/1992,,
80298,11/1/1992,,
60736,12/1/1992,,
56783,1/1/1991,,
75125,2/1/1991,,
98602,3/1/1991,,
140676,4/1/1991,,
249275,5/1/1991,,
329326,6/1/1991,,
493472,7/1/1991,,
585354,8/1/1991,,
390471,9/1/1991,,
197607,10/1/1991,,
79648,11/1/1991,,
63334,12/1/1991,,
73278,1/1/1990,,
62811,2/1/1990,,
105767,3/1/1990,,
147896,4/1/1990,,
265456,5/1/1990,,
308300,6/1/1990,,
537430,7/1/1990,,
655539,8/1/1990,,
395716,9/1/1990,,
134293,10/1/1990,,
70599,11/1/1990,,
37818,12/1/1990,,
79928,1/1/1989,,
64281,2/1/1989,,
112391,3/1/1989,,
192196,4/1/1989,,
229426,5/1/1989,,
310733,6/1/1989,,
432063,7/1/1989,,
597155,8/1/1989,,
406468,9/1/1989,,
164134,10/1/1989,,
88392,11/1/1989,,
60444,12/1/1989,,
101552,1/1/1988,,
124842,2/1/1988,,
154958,3/1/1988,,
182113,4/1/1988,,
183294,5/1/1988,,
299614,6/1/1988,,
518718,7/1/1988,,
677665,8/1/1988,,
370511,9/1/1988,,
168435,10/1/1988,,
106720,11/1/1988,,
70700,12/1/1988,,
126555,1/1/1987,,
104308,2/1/1987,,
113714,3/1/1987,,
180803,4/1/1987,,
219503,5/1/1987,,
287201,6/1/1987,,
446566,7/1/1987,,
575671,8/1/1987,,
391105,9/1/1987,,
171818,10/1/1987,,
119813,11/1/1987,,
85793,12/1/1987,,
123153,1/1/1986,,
92602,2/1/1986,,
131928,3/1/1986,,
170315,4/1/1986,,
203960,5/1/1986,,
330981,6/1/1986,,
466100,7/1/1986,,
687083,8/1/1986,,
377122,9/1/1986,,
191287,10/1/1986,,
79800,11/1/1986,,
85703,12/1/1986,,
81068,1/1/1985,,
78644,2/1/1985,,
115226,3/1/1985,,
148180,4/1/1985,,
166141,5/1/1985,,
305707,6/1/1985,,
488081,7/1/1985,,
548834,8/1/1985,,
303874,9/1/1985,,
156426,10/1/1985,,
68497,11/1/1985,,
71467,12/1/1985,,
106158,1/1/1984,,
92476,2/1/1984,,
122484,3/1/1984,,
156862,4/1/1984,,
177113,5/1/1984,,
297234,6/1/1984,,
443092,7/1/1984,,
483112,8/1/1984,,
501946,9/1/1984,,
187300,10/1/1984,,
112203,11/1/1984,,
79031,12/1/1984,,
86603,1/1/1983,,
104874,2/1/1983,,
112489,3/1/1983,,
130245,4/1/1983,,
163172,5/1/1983,,
263139,6/1/1983,,
417160,7/1/1983,,
465101,8/1/1983,,
328955,9/1/1983,,
152980,10/1/1983,,
125132,11/1/1983,,
60872,12/1/1983,,
56108,1/1/1982,,
99509,2/1/1982,,
106765,3/1/1982,,
125772,4/1/1982,,
163608,5/1/1982,,
301517,6/1/1982,,
438403,7/1/1982,,
516377,8/1/1982,,
263301,9/1/1982,,
138743,10/1/1982,,
126999,11/1/1982,,
141637,12/1/1982,,
37309,1/1/1981,,
45741,2/1/1981,,
66372,3/1/1981,,
79340,4/1/1981,,
133887,5/1/1981,,
179827,6/1/1981,,
525435,7/1/1981,,
729133,8/1/1981,,
225606,9/1/1981,,
96350,10/1/1981,,
110158,11/1/1981,,
76874,12/1/1981,,
41013,1/1/1980,,
42049,2/1/1980,,
53707,3/1/1980,,
79987,4/1/1980,,
130153,5/1/1980,,
175310,6/1/1980,,
510789,7/1/1980,,
599654,8/1/1980,,
180884,9/1/1980,,
106248,10/1/1980,,
57966,11/1/1980,,
54658,12/1/1980,,
48453,1/1/1979,,
38221,2/1/1979,,
75100,3/1/1979,,
105322,4/1/1979,,
130894,5/1/1979,,
210362,6/1/1979,,
472052,7/1/1979,,
611121,8/1/1979,,
173679,9/1/1979,,
113074,10/1/1979,,
60871,11/1/1979,,
39694,12/1/1979,,
